21.48	2- 1
17.19	2-
7.42	2- 7-
6.25	2- 1-
6.25	2- 3-
5.47	2- 2-
5.08	2- 6
4.3	2- 3
3.91	2- 4
3.13	2- 5-
2.34	2- 6-
2.34	2- 4-
1.56	2- 2- 2- 2-
1.56	2- 5
1.17	2- 2- 1 1
1.17	2- 2
1.17	2- 7+
0.78	2- 6 7-
0.78	2- 6 4 6+
0.39	2- 3 5 2- 2- 3 5 2-
0.39	2- 2- 4 7-
0.39	2- 4- 2- 4-
0.39	2- 3 5 2-
0.39	2- 2 6
0.39	2- 7+ 1 6
0.39	2- 4 7- 2- 4 7-
0.39	2- 4 7- 3
0.39	2- 3 5 2 1 3 5 1
0.39	2- 4- 6 5 4 5
0.39	2- 6 4- 6
0.39	2- 2- 4 7
0.39	2- 2- 4-
0.39	2- 4 7 3+
0.39	2- 4- 2- 4- 4-
0.39	2- 2- 1+ 2-
0.39	2- 4- 4-
