16.35	6+
12.58	6+ 7
11.32	6+ 1
6.29	6+ 7-
5.03	6+ 5+
4.4	6+ 1+
3.77	6+ 6+ 7 7
3.77	6+ 2
3.14	6+ 6+
3.14	6+ 3+
3.14	6+ 4+
3.14	6+ 5
2.52	6+ 1+ 6+ 1+
1.89	6+ 4
1.89	6+ 1 6+ 1
1.89	6+ 6
1.26	6+ 6+ 6 6
0.63	6+ 6+ 6+ 1 3+
0.63	6+ 5- 7- 3
0.63	6+ 3+ 6 1
0.63	6+ 3+ 5+
0.63	6+ 6+ 1+
0.63	6+ 3 6 1+
0.63	6+ 6+ 6+ 6+
0.63	6+ 3+ 1
0.63	6+ 1-
0.63	6+ 5 6+
0.63	6+ 3
0.63	6+ 4 5+ 3+
0.63	6+ 1+ 6 1+
0.63	6+ 4 3
0.63	6+ 1 3+ 5 5
0.63	6+ 3+ 6 1+
0.63	6+ 6+ 1
0.63	6+ 4+ 1+
0.63	6+ 7 6+ 7
0.63	6+ 2+
0.63	6+ 2 7
0.63	6+ 1+ 4+
0.63	6+ 5 1+
